"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4,C7,C8,C9,C29,C38,C39","8","10uf","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2","1","47nf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3","1","10nf","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","4.7uf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C6,C12,C16,C19,C20","5","10uf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C10,C13,C14,C15,C18,C21,C24,C25,C27,C28,C32,C33,C34,C35,C36,C41","16","100nf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C11,C17,C37","3","10uf","","","","Capacitor_SMD:C_0603_1608Metric",""
"C22,C23,C26,C30","4","1uf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C31","1","4.7nf","","","","Capacitor_SMD:C_0402_1005Metric",""
"C40","1","470u","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I",""
"D3,D4,D5","3","LRC LESD5D5.0CT1G","","","","Diode_SMD:D_SOD-523",""
"D6","1","3v3","","","","Diode_SMD:D_0402_1005Metric","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"D9,D10,D11,D12,D13,D14,D15,D16","8","LED","","","","LED_SMD:LED_0402_1005Metric",""
"F1,F2","2","1.5A","","","","Fuse:Fuse_1206_3216Metric",""
"FB1,FB2","2","FerriteBead_Small","","","","Inductor_SMD:L_0402_1005Metric",""
"J1","1","Conn_01x03_Pin","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical",""
"J2","1","Conn_01x02_Pin","","","","Connector_JST:JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical",""
"J3","1","pogo pins","","","","Connector_JST:JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical",""
"J4","1","Conn_01x03_Pin","","","","Connector_JST:JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical",""
"J5,J6","2","Conn_01x05_Pin","","","","Connector_FFC-FPC:JUSHUO_AFA07-S05FCA-00_1x5-1MP_P1.0mm_Horizontal",""
"L1","1","1uH","","","","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-2512",""
"L2","1","2.2uH","","","","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-2512",""
"MK1,MK2","2","MMICT390200012","","","","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","https://www.knowles.com/docs/default-source/model-downloads/sph0641lu4h-1-revb.pdf"
"P1","1","USB_C_Plug_USB2.0","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"R3","1","5k23","","","","Resistor_SMD:R_0402_1005Metric",""
"R4","1","30k1","","","","Resistor_SMD:R_0402_1005Metric",""
"R6,R7,R11,R12,R15,R21,R24,R33,R34,R36,R37","11","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R10","1","100R","","","","Resistor_SMD:R_0402_1005Metric",""
"R13,R14,R29","3","5k1","","","","Resistor_SMD:R_0402_1005Metric",""
"R16","1","100k","","","","Resistor_SMD:R_0402_1005Metric",""
"R17","1","27k","","","","Resistor_SMD:R_0402_1005Metric",""
"R18","1","1K","","","","Resistor_SMD:R_0402_1005Metric",""
"R19,R20","2","4.7k","","","","Resistor_SMD:R_0402_1005Metric",""
"R22,R23","2","33R","","","","Resistor_SMD:R_0402_1005Metric",""
"R27","1","160k","","","","Resistor_SMD:R_0402_1005Metric",""
"R28","1","220k","","","","Resistor_SMD:R_0402_1005Metric",""
"R30,R31,R32,R38,R39,R40,R41,R42","8","2k2","","","","Resistor_SMD:R_0402_1005Metric",""
"R35","1","22k","","","","Resistor_SMD:R_0402_1005Metric",""
"SW1,SW4,SW5,SW6,SW7","5","SW_Push","","","","Button_Switch_SMD:SW_SPST_EVQP7A",""
"SW2,SW3","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR025",""
"U1","1","BQ25601","","","","Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias","http://www.ti.com/lit/ds/symlink/bq25601.pdf"
"U2","1","TPS63001","","","","Package_SON:Texas_DRC0010J_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63000.pdf"
"U3","1","74HC595","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U4","1","ESP32-C5-WROOM-1","","","","Espressif_Footprints:ESP32-C5-WROOM-1",""
"U5","1","TPS2116DRL","","","","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps2116.pdf"
"U6","1","TLV320AIC3254IRHBR","","","","TLV320AIC3254:IC_ADS125H01IRHBT",""
"U7","1","TPA2012D2RTJR","","","","TPA2012D2RTJR:QFN50P400X400X80-21N270X270",""
