Comment,Designator,Footprint,LCSC,Quantity
1.5A,"F1,F2",Fuse_1206_3216Metric,C16902,2
100R,R10,R_0402_1005Metric,C82865,1
100k,R16,R_0402_1005Metric,C25741,1
100nf,"C10,C13,C14,C15,C18,C21,C24,C25,C27,C28,C32,C33,C34,C35,C36",C_0402_1005Metric,C1525,15
10k,R7,R_0402_1005Metric,C11616,1
10k,"R11,R12,R15,R21,R24,R33,R34,R36,R37,R6",R_0402_1005Metric,C2906861,10
10nf,C3,C_0805_2012Metric,C519909,1
10uf,"C1,C29,C38,C39,C4,C7,C8,C9",C_0805_2012Metric,C1713,8
10uf,"C11,C17,C37",C_0603_1608Metric,C19702,3
10uf,"C12,C16,C19,C20,C6",C_0402_1005Metric,C7472949,5
160k,R27,R_0402_1005Metric,C25757,1
1K,R18,R_0402_1005Metric,C71623,1
1uH,L1,L_Wurth_WE-LQSH-2512,C340349,1
1uf,"C22,C23,C26,C30",C_0402_1005Metric,C14445,4
2.2uH,L2,L_Wurth_WE-LQSH-2512,C7471167,1
220k,R28,R_0402_1005Metric,C25546,1
22k,R35,R_0402_1005Metric,C82868,1
27k,R17,R_0402_1005Metric,C137891,1
2k2,"R30,R31,R32,R38,R39,R40,R41,R42",R_0402_1005Metric,C140192,8
30k1,R4,R_0402_1005Metric,C138009,1
33R,"R22,R23",R_0402_1005Metric,C324773,2
3v3,D6,D_0402_1005Metric,C550402,1
4.7k,"R19,R20",R_0402_1005Metric,C11663,2
4.7nf,C31,C_0402_1005Metric,C2168463,1
4.7uf,C5,C_0402_1005Metric,C368809,1
470u,C40,CP_EIA-3216-10_Kemet-I,C7229,1
47nf,C2,C_0402_1005Metric,C327054,1
5k1,"R13,R14,R29",R_0402_1005Metric,C105872,3
5k23,R3,R_0402_1005Metric,C477746,1
74HC595,U3,TSSOP-16_4.4x5mm_P0.65mm,C5948,1
AO3401A,Q1,SOT-23,C15127,1
BQ25601,U1,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,C468236,1
Conn_01x02_Pin,J2,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,C265004,1
Conn_01x03_Pin,J4,JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical,C489717,1
Conn_01x03_Pin,J1,PinHeader_1x03_P1.27mm_Vertical,C52016391,1
Conn_01x05_Pin,J5,JUSHUO_AFA07-S05FCA-00_1x5-1MP_P1.0mm_Horizontal,C2681941,1
ESP32-C5-WROOM-1,U4,ESP32-C5-WROOM-1,C51950748,1
FerriteBead_Small,"FB1,FB2",L_0402_1005Metric,C76807,2
LED,"D10,D11,D12,D13,D14,D15,D16,D9",LED_0402_1005Metric,C74339,8
LRC LESD5D5.0CT1G,"D3,D4,D5",D_SOD-523,C5274290,3
SPH0641LU4H-1,MK1,Knowles_LGA-5_3.5x2.65mm,C3171752,1
SW_Push,"SW2,SW3",SW_SPST_TS-1088-xR025,C720477,2
SW_Push,"SW1,SW4,SW5,SW6,SW7",SW_SPST_EVQP7A,C79167,5
TLV320AIC3254IRHBR,U6,IC_ADS125H01IRHBT,C9925,1
TPA2012D2RTJR,U7,QFN50P400X400X80-21N270X270,C7717,1
TPS2116DRL,U5,SOT-583-8,C3235557,1
TPS63001,U2,Texas_DRC0010J_ThermalVias,C28060,1
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C393939,1
pogo pins,J3,JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical,C489717,1
