Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0805_2012Metric,173.2696,-76.485,180.0,top
C10,100nf,C_0402_1005Metric,162.5064,-82.3756,180.0,top
C11,10uf,C_0603_1608Metric,180.5,-69.4038,180.0,bottom
C12,10uf,C_0402_1005Metric,158.0,-39.02,90.0,top
C13,100nf,C_0402_1005Metric,159.0,-39.02,90.0,top
C14,100nf,C_0402_1005Metric,155.75,-49.5,180.0,top
C15,100nf,C_0402_1005Metric,154.5,-40.5,-90.0,top
C16,10uf,C_0402_1005Metric,177.1584,-66.6538,0.0,bottom
C17,10uf,C_0603_1608Metric,182.0,-66.1538,90.0,bottom
C18,100nf,C_0402_1005Metric,161.7272,-67.1668,-90.0,top
C19,10uf,C_0402_1005Metric,165.1126,-62.0,0.0,top
C2,47nf,C_0402_1005Metric,177.5196,-73.735,-90.0,top
C20,10uf,C_0402_1005Metric,163.75,-66.25,-90.0,top
C21,100nf,C_0402_1005Metric,160.2272,-67.6668,180.0,top
C22,1uf,C_0402_1005Metric,165.1126,-63.486,0.0,top
C23,1uf,C_0402_1005Metric,159.3626,-65.736,180.0,top
C24,100nf,C_0402_1005Metric,164.8626,-64.986,-90.0,top
C25,100nf,C_0402_1005Metric,168.4125,-63.7635,180.0,bottom
C26,1uf,C_0402_1005Metric,164.2272,-68.9168,180.0,top
C27,100nf,C_0402_1005Metric,158.75,-58.75,180.0,top
C28,100nf,C_0402_1005Metric,160.5,-74.75,-90.0,top
C29,10uf,C_0805_2012Metric,162.0,-75.25,-90.0,top
C3,10nf,C_0805_2012Metric,182.75,-76.5,90.0,top
C30,1uf,C_0402_1005Metric,164.2272,-75.0,180.0,top
C31,4.7nf,C_0402_1005Metric,162.7272,-67.1668,-90.0,top
C32,100nf,C_0402_1005Metric,157.2272,-71.4168,-90.0,top
C33,100nf,C_0402_1005Metric,164.2272,-70.9168,0.0,top
C34,100nf,C_0402_1005Metric,181.75,-54.0,0.0,top
C35,100nf,C_0402_1005Metric,155.75,-60.5,0.0,top
C36,100nf,C_0402_1005Metric,155.0,-47.75,180.0,bottom
C37,10uf,C_0603_1608Metric,178.5,-65.1538,0.0,bottom
C38,10uf,C_0805_2012Metric,165.0,-72.5,0.0,top
C39,10uf,C_0805_2012Metric,156.5,-68.8,90.0,top
C4,10uf,C_0805_2012Metric,181.5196,-80.235,-90.0,top
C40,470u,CP_EIA-3216-10_Kemet-I,162.0,-86.8,90.0,top
C5,4.7uf,C_0402_1005Metric,176.5196,-73.735,90.0,top
C6,10uf,C_0402_1005Metric,175.0196,-74.985,180.0,top
C7,10uf,C_0805_2012Metric,165.7564,-79.6556,180.0,top
C8,10uf,C_0805_2012Metric,166.2056,-86.55,-90.0,top
C9,10uf,C_0805_2012Metric,164.2056,-86.55,-90.0,top
D10,LED,LED_0402_1005Metric,170.51,-52.6175,270.0,bottom
D11,LED,LED_0402_1005Metric,172.5,-52.6175,270.0,bottom
D12,LED,LED_0402_1005Metric,166.52,-52.6175,270.0,bottom
D13,LED,LED_0402_1005Metric,167.5,-71.0,-90.0,top
D14,LED,LED_0402_1005Metric,167.5,-73.6175,-90.0,top
D15,LED,LED_0402_1005Metric,168.75,-71.0,-90.0,top
D16,LED,LED_0402_1005Metric,168.75,-73.6175,-90.0,top
D3,LRC LESD5D5.0CT1G,D_SOD-523,173.07249,-68.569318,180.0,top
D4,LRC LESD5D5.0CT1G,D_SOD-523,173.072849,-65.06367,180.0,top
D5,LRC LESD5D5.0CT1G,D_SOD-523,170.0768,-69.5712,90.0,top
D6,3v3,D_0402_1005Metric,168.75,-76.5,-90.0,top
D9,LED,LED_0402_1005Metric,168.52,-52.6175,270.0,bottom
F1,1.5A,Fuse_1206_3216Metric,172.5,-82.5,270.0,bottom
F2,1.5A,Fuse_1206_3216Metric,172.0768,-72.0712,180.0,top
FB1,FerriteBead_Small,L_0402_1005Metric,164.2272,-69.9168,0.0,top
FB2,FerriteBead_Small,L_0402_1005Metric,164.2272,-74.0,180.0,top
H1,MountingHole_Pad_MP,MountingHole_2.2mm_M2_DIN965_Pad,182.0,-39.75,0.0,top
H2,MountingHole_Pad_MP,MountingHole_2.2mm_M2_DIN965_Pad,155.75,-87.75,-90.0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P1.27mm_Vertical,181.491004,-44.75,180.0,top
J2,Conn_01x02_Pin,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,158.0,-78.45,180.0,top
J3,pogo pins,JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical,178.0,-86.2,180.0,bottom
J4,Conn_01x03_Pin,JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical,178.5,-86.2,180.0,top
J5,Conn_01x05_Pin,JUSHUO_AFA07-S05FCA-00_1x5-1MP_P1.0mm_Horizontal,160.5,-68.76,0.0,bottom
L1,1uH,L_Wurth_WE-LQSH-2512,180.0196,-73.985,0.0,top
L2,2.2uH,L_Wurth_WE-LQSH-2512,169.0064,-82.9056,90.0,top
MK1,SPH0641LU4H-1,Knowles_LGA-5_3.5x2.65mm,168.4125,-61.187249,180.0,bottom
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,178.3168,-66.7512,90.0,top
Q1,AO3401A,SOT-23,170.5,-87.25,180.0,bottom
R10,100R,R_0402_1005Metric,163.2564,-79.8756,-90.0,top
R11,10k,R_0402_1005Metric,157.75,-49.5,180.0,top
R12,10k,R_0402_1005Metric,155.5,-40.5,90.0,top
R13,5k1,R_0402_1005Metric,173.32632,-69.820263,180.0,top
R14,5k1,R_0402_1005Metric,173.31078,-63.819801,180.0,top
R15,10k,R_0402_1005Metric,180.5,-64.9038,90.0,bottom
R16,100k,R_0402_1005Metric,177.1584,-68.6538,0.0,bottom
R17,27k,R_0402_1005Metric,177.1584,-67.6538,180.0,bottom
R18,1K,R_0402_1005Metric,162.0,-65.75,180.0,top
R19,4.7k,R_0402_1005Metric,174.0196,-79.235,0.0,top
R20,4.7k,R_0402_1005Metric,174.0196,-80.235,0.0,top
R21,10k,R_0402_1005Metric,168.0,-86.75,270.0,bottom
R22,33R,R_0402_1005Metric,173.322849,-66.31367,180.0,top
R23,33R,R_0402_1005Metric,173.32249,-67.319318,180.0,top
R24,10k,R_0402_1005Metric,157.6126,-63.0,-90.0,top
R27,160k,R_0402_1005Metric,167.25,-78.0,0.0,top
R28,220k,R_0402_1005Metric,169.25,-78.0,0.0,top
R29,5k1,R_0402_1005Metric,167.75,-76.5,90.0,top
R3,5k23,R_0402_1005Metric,176.0,-81.75,-90.0,top
R30,2k2,R_0402_1005Metric,174.0,-50.0,270.0,bottom
R31,2k2,R_0402_1005Metric,172.0,-50.0,270.0,bottom
R32,2k2,R_0402_1005Metric,170.0,-50.0,270.0,bottom
R33,10k,R_0402_1005Metric,181.75,-55.0,180.0,top
R34,10k,R_0402_1005Metric,181.5,-51.25,0.0,top
R35,22k,R_0402_1005Metric,181.51,-58.25,0.0,top
R36,10k,R_0402_1005Metric,155.75,-61.5,180.0,top
R37,10k,R_0402_1005Metric,155.0,-46.75,0.0,bottom
R38,2k2,R_0402_1005Metric,168.0,-50.0,270.0,bottom
R39,2k2,R_0402_1005Metric,166.0,-50.0,270.0,bottom
R4,30k1,R_0402_1005Metric,178.25,-81.75,-90.0,top
R40,2k2,R_0402_1005Metric,164.0,-50.0,270.0,bottom
R41,2k2,R_0402_1005Metric,164.0,-45.25,270.0,bottom
R42,2k2,R_0402_1005Metric,164.0,-47.5,270.0,bottom
R6,10k,R_0402_1005Metric,177.25,-81.75,-90.0,top
R7,10k,R_0402_1005Metric,158.25,-74.1668,0.0,top
SW1,SW_Push,SW_SPST_EVQP7A,155.325,-53.5,90.0,bottom
SW2,SW_Push,SW_SPST_TS-1088-xR025,156.75,-47.25,0.0,top
SW3,SW_Push,SW_SPST_TS-1088-xR025,156.75,-43.5,0.0,top
SW4,SW_Push,SW_SPST_EVQP7A,182.28,-51.2,270.0,bottom
SW5,SW_Push,SW_SPST_EVQP7A,182.1807,-58.054491,270.0,bottom
SW6,SW_Push,SW_SPST_EVQP7A,155.325,-61.0,90.0,bottom
SW7,SW_Push,SW_SPST_EVQP7A,155.25,-43.0,90.0,bottom
U1,BQ25601,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,177.7746,-78.105,0.0,top
U2,TPS63001,Texas_DRC0010J_ThermalVias,165.5064,-82.9056,180.0,top
